epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7497393117831074,0.8596454640250261,0.8437956204379562,0.8546402502606882,0.8546402502606882,0.8494264859228363,0.7643378519290928,0.8389989572471325,0.8329509906152242,0.8410844629822732,0.8394160583941606,0.837747653806048
1,0.8025026068821689,0.9076120959332639,0.9113660062565172,0.9096976016684046,0.9101147028154327,0.9088633993743482,0.7943691345151199,0.8740354535974973,0.8788321167883212,0.8796663190823775,0.8798748696558916,0.8790406673618353
2,0.8133472367049009,0.9113660062565172,0.9090719499478623,0.9088633993743482,0.9092805005213764,0.9076120959332639,0.802711157455683,0.8798748696558916,0.8842544316996872,0.8859228362877998,0.8844629822732013,0.8842544316996872
3,0.8225234619395203,0.9126173096976017,0.9130344108446298,0.9147028154327425,0.9138686131386862,0.9144942648592284,0.8095933263816476,0.8800834202294057,0.883837330552659,0.8848800834202294,0.8852971845672576,0.8840458811261731
4,0.8266944734098018,0.9151199165797705,0.9169968717413973,0.9176225234619395,0.9172054223149113,0.9165797705943691,0.8091762252346194,0.886339937434828,0.8873826903023984,0.8882168925964546,0.8880083420229405,0.8886339937434828
5,0.8350364963503649,0.9184567257559958,0.9197080291970803,0.9205422314911366,0.9192909280500522,0.9190823774765381,0.8160583941605839,0.8848800834202294,0.8850886339937435,0.8873826903023984,0.8915537017726799,0.8903023983315954
6,0.8369134515119917,0.9232533889468196,0.921793534932221,0.9226277372262773,0.9226277372262773,0.9228362877997914,0.8171011470281543,0.8857142857142857,0.8882168925964546,0.8888425443169968,0.8911366006256517,0.8898852971845672
7,0.8429614181438999,0.9203336809176226,0.9238790406673618,0.9257559958289885,0.9238790406673618,0.9253388946819604,0.8285714285714286,0.886339937434828,0.8911366006256517,0.8938477580813348,0.8965589155370177,0.8965589155370177
8,0.8552659019812304,0.9249217935349322,0.9267987486965589,0.9280500521376434,0.9288842544316996,0.92992700729927,0.8333680917622523,0.8907194994786236,0.8938477580813348,0.897393117831074,0.8982273201251303,0.8976016684045881
9,0.8552659019812304,0.9192909280500522,0.9226277372262773,0.9259645464025026,0.9257559958289885,0.9251303441084463,0.8342022940563086,0.880917622523462,0.8880083420229405,0.8921793534932221,0.8942648592283629,0.8940563086548488
