epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7753910323253389,0.8423357664233576,0.8523461939520334,0.8644421272158499,0.8646506777893639,0.867778936392075,0.7724713242961418,0.824191866527633,0.8364963503649635,0.8462982273201252,0.8452554744525548,0.8437956204379562
1,0.8066736183524504,0.8982273201251303,0.9074035453597498,0.9122002085505735,0.9111574556830031,0.9113660062565172,0.7962460896767466,0.8706986444212722,0.8782064650677789,0.8771637122002085,0.8779979144942649,0.8777893639207508
2,0.8181438998957247,0.9069864442127216,0.9101147028154327,0.9149113660062566,0.9165797705943691,0.9157455683003128,0.8089676746611053,0.8759124087591241,0.8825860271115745,0.8819603753910323,0.8859228362877998,0.8855057351407717
3,0.8342022940563086,0.9140771637122002,0.9199165797705944,0.9209593326381648,0.92429614181439,0.9236704900938477,0.8164754953076121,0.8850886339937435,0.8911366006256517,0.8925964546402503,0.8971845672575599,0.8963503649635036
4,0.837747653806048,0.9138686131386862,0.921376433785193,0.9236704900938477,0.9257559958289885,0.9259645464025026,0.8193952033368092,0.8817518248175182,0.8859228362877998,0.8867570385818561,0.8953076120959332,0.8940563086548488
5,0.8508863399374348,0.9128258602711158,0.9201251303441085,0.9255474452554745,0.9286757038581857,0.9272158498435871,0.8289885297184567,0.8827945776850886,0.8896767466110532,0.8907194994786236,0.9001042752867571,0.9001042752867571
6,0.8527632950990616,0.9155370177267987,0.9222106360792492,0.9228362877997914,0.9326381647549531,0.9326381647549531,0.8342022940563086,0.8832116788321168,0.8898852971845672,0.8942648592283629,0.9078206465067779,0.9078206465067779
7,0.8533889468196038,0.9117831074035454,0.918873826903024,0.9199165797705944,0.9259645464025026,0.9265901981230449,0.8367049009384776,0.87570385818561,0.8844629822732013,0.8900938477580813,0.910740354535975,0.9099061522419186
8,0.8581856100104275,0.9157455683003128,0.9184567257559958,0.9192909280500522,0.9284671532846716,0.9284671532846716,0.8462982273201252,0.8794577685088634,0.8859228362877998,0.8869655891553702,0.9172054223149113,0.9169968717413973
9,0.8636079249217935,0.9136600625651721,0.918873826903024,0.9184567257559958,0.9301355578727841,0.929718456725756,0.8408759124087591,0.8817518248175182,0.8907194994786236,0.8936392075078207,0.9207507820646507,0.9211678832116789
