epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7476538060479666,0.8225234619395203,0.8540145985401459,0.8533889468196038,0.8602711157455682,0.8554744525547445,0.7420229405630866,0.8279457768508863,0.8291970802919708,0.8335766423357664,0.8396246089676747,0.8383733055265902
1,0.7949947862356621,0.8971845672575599,0.9086548488008342,0.9086548488008342,0.908237747653806,0.9074035453597498,0.8010427528675704,0.8717413972888426,0.8805005213764338,0.88133472367049,0.8830031282586027,0.8827945776850886
2,0.8091762252346194,0.9023983315954119,0.908029197080292,0.9138686131386862,0.9138686131386862,0.9153284671532846,0.8068821689259645,0.8679874869655891,0.87570385818561,0.8825860271115745,0.8842544316996872,0.8846715328467153
3,0.8248175182481752,0.9061522419186653,0.9096976016684046,0.9090719499478623,0.9119916579770594,0.9111574556830031,0.8168925964546403,0.8715328467153285,0.8782064650677789,0.8807090719499479,0.881126173096976,0.8819603753910323
4,0.8348279457768509,0.9119916579770594,0.9157455683003128,0.9194994786235662,0.9205422314911366,0.9197080291970803,0.8223149113660062,0.8800834202294057,0.8840458811261731,0.8875912408759125,0.8896767466110532,0.8898852971845672
5,0.8404588112617309,0.9124087591240876,0.9197080291970803,0.9192909280500522,0.9245046923879041,0.92429614181439,0.8254431699687174,0.8807090719499479,0.8861313868613139,0.8909280500521376,0.8955161626694473,0.8950990615224191
6,0.8454640250260689,0.9174139728884254,0.9207507820646507,0.9276329509906153,0.9315954118873827,0.9318039624608968,0.8300312825860271,0.881126173096976,0.8875912408759125,0.8940563086548488,0.8990615224191867,0.8984358706986444
7,0.845881126173097,0.9165797705943691,0.921584984358707,0.9238790406673618,0.9290928050052137,0.9280500521376434,0.8294056308654849,0.8827945776850886,0.8928050052137644,0.8961418143899895,0.9013555787278416,0.9013555787278416
8,0.8525547445255475,0.9174139728884254,0.9226277372262773,0.9255474452554745,0.9311783107403545,0.9313868613138686,0.8369134515119917,0.8825860271115745,0.8873826903023984,0.8921793534932221,0.9059436913451512,0.9057351407716371
9,0.8548488008342023,0.9176225234619395,0.9194994786235662,0.9245046923879041,0.9261730969760167,0.9238790406673618,0.8381647549530761,0.8821689259645464,0.8877997914494264,0.8948905109489051,0.9122002085505735,0.9126173096976017
