epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.57778,0.55984,0.54054,0.59372,0.6993,0.70016,0.51294,0.51674,0.5261,0.5998,0.92156,0.92248
1,0.52552,0.493,0.51402,0.56928,0.6927,0.6927,0.5088,0.50974,0.51114,0.53288,0.91702,0.9171
2,0.52688,0.50144,0.5038,0.56512,0.69576,0.69558,0.50898,0.51022,0.51172,0.56118,0.8997,0.89972
3,0.5172,0.51128,0.50908,0.54596,0.688,0.688,0.51076,0.51076,0.51076,0.52272,0.88638,0.88642
4,0.52056,0.51046,0.50888,0.5501,0.6831,0.68306,0.51076,0.51076,0.5107,0.54096,0.87238,0.87232
5,0.53114,0.52322,0.51596,0.5738,0.68698,0.68682,0.51048,0.5104,0.51138,0.56326,0.87652,0.87662
6,0.53944,0.52254,0.52834,0.5996,0.68658,0.6867,0.51076,0.51124,0.51402,0.60892,0.87272,0.87268
7,0.54022,0.53066,0.5226,0.59048,0.68964,0.6895,0.51076,0.51072,0.51242,0.60234,0.86396,0.864
8,0.50046,0.5014,0.49846,0.55026,0.7064,0.7062,0.51076,0.50896,0.50058,0.5219,0.83622,0.83624
9,0.45836,0.47566,0.42188,0.54792,0.77498,0.77498,0.51078,0.51076,0.50106,0.5143,0.79216,0.79218
