epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99984,0.99774,0.96414,0.81222,0.73822,0.73588,0.7002,0.70088,0.70466,0.84796,0.96336,0.96304
1,0.9999,0.99982,0.99522,0.87232,0.7841,0.78406,0.70302,0.70962,0.75692,0.92228,0.99148,0.99156
2,0.99994,0.99942,0.99548,0.91008,0.80406,0.80328,0.7029,0.71224,0.77992,0.93272,0.99472,0.99464
3,0.99996,0.99962,0.99618,0.92472,0.81974,0.81896,0.7028,0.71356,0.78848,0.93908,0.99646,0.99658
4,0.9999,0.99956,0.99578,0.93242,0.83518,0.83548,0.7031,0.71272,0.79766,0.94302,0.9977,0.99766
5,0.99996,0.99978,0.99848,0.93198,0.83064,0.83056,0.70296,0.71322,0.81582,0.94664,0.99858,0.9985
6,0.99996,0.99984,0.99896,0.95262,0.84874,0.8487,0.7029,0.7149,0.8176,0.94784,0.99908,0.99906
7,0.99988,0.99952,0.99716,0.95798,0.85598,0.85748,0.70326,0.7175,0.80798,0.9471,0.99844,0.99848
8,0.99998,0.99952,0.9986,0.955,0.85106,0.85156,0.7032,0.71982,0.8304,0.95294,0.99944,0.9994
9,0.99992,0.99978,0.99902,0.96124,0.87672,0.87618,0.70308,0.71826,0.83738,0.95764,0.99972,0.99968
