epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.9972,0.99258,0.96528,0.83434,0.75208,0.75426,0.70174,0.6938,0.71816,0.86012,0.96338,0.96288
1,0.99978,0.99764,0.98356,0.84616,0.76864,0.76746,0.7028,0.7055,0.7639,0.92718,0.99116,0.99116
2,0.99978,0.99876,0.99286,0.88352,0.79378,0.79464,0.70298,0.7081,0.78126,0.9371,0.99526,0.99534
3,0.99972,0.9992,0.9933,0.90302,0.81174,0.81254,0.7032,0.71034,0.79384,0.93982,0.99678,0.99686
4,0.99974,0.99934,0.99668,0.93228,0.83886,0.83974,0.70308,0.70724,0.7988,0.94454,0.99764,0.9976
5,0.99978,0.99938,0.99622,0.92104,0.8347,0.83588,0.70336,0.71148,0.812,0.94928,0.99872,0.9987
6,0.9997,0.99912,0.99794,0.9396,0.85884,0.85912,0.70346,0.70892,0.80418,0.94952,0.99906,0.99906
7,0.99964,0.99898,0.99816,0.94946,0.86424,0.86466,0.70322,0.71268,0.81602,0.95098,0.99894,0.99892
8,0.99988,0.9995,0.99754,0.94284,0.8554,0.85622,0.703,0.71344,0.82308,0.95294,0.9993,0.99932
9,0.99988,0.99944,0.998,0.9488,0.86524,0.86564,0.70314,0.7141,0.82084,0.95316,0.99906,0.999
