epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99958,0.98992,0.97934,0.84738,0.74806,0.75162,0.69902,0.70946,0.722,0.86984,0.96542,0.96576
1,0.99972,0.9974,0.98808,0.85896,0.75992,0.76116,0.70328,0.71304,0.75382,0.92462,0.99066,0.99068
2,0.99978,0.9947,0.98756,0.8736,0.76856,0.77062,0.70328,0.71888,0.76308,0.92778,0.99388,0.99386
3,0.9996,0.99642,0.98716,0.85758,0.7616,0.76214,0.70352,0.71782,0.76826,0.9235,0.99478,0.99472
4,0.99968,0.99394,0.97738,0.8307,0.74724,0.74782,0.7032,0.71992,0.76942,0.92462,0.99486,0.99494
5,0.99968,0.99452,0.99132,0.84152,0.74064,0.74096,0.7034,0.71872,0.77702,0.92802,0.99494,0.99496
6,0.99972,0.99454,0.98034,0.82908,0.7321,0.73294,0.70324,0.72026,0.76208,0.92124,0.99548,0.9956
7,0.99992,0.99602,0.97614,0.81318,0.72232,0.72242,0.70314,0.72182,0.76058,0.92054,0.99514,0.9951
8,0.99988,0.9922,0.97116,0.80966,0.71618,0.71604,0.703,0.72048,0.75014,0.9231,0.9953,0.99526
9,0.99978,0.99648,0.9713,0.80764,0.71308,0.71356,0.70328,0.7189,0.75204,0.91644,0.9955,0.99558
