epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.58144,0.54806,0.54992,0.60882,0.70036,0.70122,0.52422,0.51374,0.51538,0.6318,0.92034,0.91962
1,0.52154,0.50246,0.50146,0.5853,0.69626,0.69638,0.51152,0.51338,0.51192,0.56392,0.91288,0.91288
2,0.50122,0.5108,0.50828,0.58822,0.69306,0.693,0.51076,0.51002,0.51028,0.55858,0.90458,0.90462
3,0.5142,0.51798,0.51648,0.59286,0.69106,0.69096,0.51052,0.5116,0.51104,0.56432,0.88976,0.8898
4,0.57288,0.553,0.50764,0.5871,0.69618,0.69606,0.5112,0.51172,0.5095,0.58784,0.88894,0.8889
5,0.6017,0.56204,0.5149,0.55558,0.69496,0.69492,0.51092,0.51052,0.51076,0.5324,0.8795,0.87946
6,0.61098,0.56632,0.51034,0.54414,0.69202,0.6921,0.51112,0.51412,0.51076,0.52326,0.87714,0.87714
7,0.59178,0.5687,0.50662,0.5673,0.69242,0.6925,0.5118,0.51492,0.51076,0.52948,0.87482,0.87484
8,0.62436,0.57654,0.5015,0.5204,0.69454,0.69464,0.51808,0.52248,0.51068,0.51322,0.86846,0.8684
9,0.59606,0.56282,0.4998,0.52452,0.6948,0.69486,0.51392,0.5159,0.51076,0.51108,0.87306,0.87308
