epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.98658,0.97882,0.91778,0.77926,0.72994,0.72508,0.70322,0.71126,0.72522,0.84246,0.93806,0.93792
1,0.99938,0.99162,0.9183,0.76676,0.71846,0.709,0.70376,0.71938,0.80192,0.92548,0.9859,0.98544
2,0.99932,0.99396,0.92416,0.76962,0.71802,0.70694,0.70428,0.72156,0.8115,0.9322,0.9898,0.98994
3,0.9989,0.99602,0.95194,0.79004,0.73236,0.71936,0.70516,0.7232,0.8119,0.9364,0.99184,0.99192
4,0.99906,0.99366,0.95296,0.79036,0.73254,0.71616,0.70506,0.72874,0.82062,0.94102,0.9931,0.9931
5,0.9992,0.9936,0.9518,0.78442,0.73122,0.71354,0.70492,0.72818,0.82558,0.95016,0.99404,0.99422
6,0.99874,0.99478,0.95396,0.79372,0.7401,0.71748,0.7057,0.72808,0.81804,0.94898,0.99504,0.99484
7,0.99904,0.99694,0.96548,0.8115,0.74444,0.72164,0.70596,0.72874,0.81648,0.9505,0.99618,0.99602
8,0.99912,0.99278,0.97114,0.83038,0.74128,0.71954,0.70566,0.73148,0.8147,0.9495,0.9961,0.99608
9,0.9991,0.99308,0.97882,0.83202,0.74696,0.7224,0.70682,0.73278,0.81738,0.95084,0.9966,0.99664
