epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99444,0.98872,0.9062,0.78222,0.72364,0.72186,0.6988,0.69632,0.66788,0.77964,0.90728,0.90776
1,0.99966,0.99768,0.90202,0.76024,0.70454,0.70072,0.70288,0.70312,0.73242,0.8846,0.97472,0.97418
2,0.99968,0.99894,0.8898,0.76414,0.7155,0.70518,0.7032,0.70594,0.77618,0.90084,0.9836,0.98344
3,0.99962,0.99962,0.8654,0.76736,0.724,0.71086,0.70356,0.70884,0.7857,0.91136,0.98664,0.98596
4,0.99964,0.99964,0.8376,0.75252,0.7139,0.7023,0.70342,0.70642,0.79406,0.91842,0.98876,0.98864
5,0.99968,0.99912,0.82874,0.73876,0.70354,0.69466,0.70386,0.71098,0.80584,0.92348,0.9912,0.9909
6,0.99978,0.99944,0.8834,0.76726,0.72184,0.70522,0.7037,0.70948,0.8134,0.92802,0.9925,0.99212
7,0.99956,0.99844,0.85788,0.7658,0.72542,0.70654,0.7043,0.71926,0.81844,0.93592,0.9933,0.99322
8,0.99918,0.99542,0.87378,0.7852,0.73234,0.71014,0.70478,0.71664,0.81724,0.93774,0.99394,0.99352
9,0.99952,0.99768,0.87844,0.77626,0.72786,0.70744,0.70434,0.71968,0.81732,0.93398,0.99446,0.9943
