epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7570385818561001,0.8506777893639208,0.8704900938477581,0.8748696558915537,0.8698644421272158,0.8667361835245047,0.748696558915537,0.8264859228362877,0.8373305526590198,0.8467153284671532,0.84859228362878,0.8527632950990616
1,0.7906152241918665,0.8967674661105318,0.9049009384775808,0.9023983315954119,0.9015641293013555,0.9015641293013555,0.7947862356621481,0.8684045881126173,0.8748696558915537,0.8792492179353493,0.8742440041710114,0.8734098018769552
2,0.8041710114702816,0.910948905109489,0.9147028154327425,0.9180396246089677,0.916371220020855,0.9161626694473409,0.8047966631908238,0.8775808133472367,0.8823774765380605,0.8859228362877998,0.8869655891553702,0.8896767466110532
3,0.8258602711157456,0.9161626694473409,0.9172054223149113,0.9224191866527633,0.9224191866527633,0.9220020855057351,0.8145985401459854,0.8786235662148071,0.8796663190823775,0.8836287799791449,0.8873826903023984,0.8873826903023984
4,0.8419186652763295,0.918873826903024,0.9228362877997914,0.9255474452554745,0.9272158498435871,0.9274244004171012,0.8252346193952034,0.8815432742440041,0.8855057351407717,0.8915537017726799,0.8938477580813348,0.8942648592283629
5,0.8454640250260689,0.9199165797705944,0.9238790406673618,0.9276329509906153,0.927007299270073,0.9267987486965589,0.8250260688216893,0.8815432742440041,0.8900938477580813,0.8928050052137644,0.8953076120959332,0.8965589155370177
6,0.8521376433785193,0.9182481751824818,0.921584984358707,0.9276329509906153,0.9276329509906153,0.9267987486965589,0.8258602711157456,0.8815432742440041,0.8882168925964546,0.8953076120959332,0.8955161626694473,0.897393117831074
7,0.8579770594369135,0.9157455683003128,0.9192909280500522,0.9236704900938477,0.9249217935349322,0.9257559958289885,0.8387904066736184,0.8796663190823775,0.8859228362877998,0.894681960375391,0.8990615224191867,0.8984358706986444
8,0.8606882168925964,0.921584984358707,0.9245046923879041,0.9278415015641293,0.9301355578727841,0.9290928050052137,0.8423357664233576,0.8859228362877998,0.8903023983315954,0.897393117831074,0.9013555787278416,0.90281543274244
9,0.867361835245047,0.9153284671532846,0.9194994786235662,0.9265901981230449,0.9282586027111575,0.9274244004171012,0.8400417101147029,0.8825860271115745,0.8882168925964546,0.8942648592283629,0.9021897810218978,0.9032325338894682
