epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.99176,0.99406,0.98318,0.82672,0.74216,0.73916,0.70264,0.7036,0.71442,0.84534,0.95624,0.95676
1,0.99946,0.99962,0.98624,0.83632,0.7555,0.74966,0.70306,0.71252,0.75316,0.91524,0.98928,0.98902
2,0.99962,0.9994,0.99156,0.852,0.769,0.75978,0.70298,0.7131,0.77136,0.93018,0.99304,0.99294
3,0.99966,0.9989,0.99384,0.87244,0.77074,0.7581,0.70344,0.71172,0.78428,0.93458,0.9949,0.99508
4,0.99978,0.99952,0.99724,0.90366,0.7893,0.77364,0.7035,0.71362,0.7867,0.93346,0.99584,0.99574
5,0.99962,0.99944,0.99848,0.91112,0.79364,0.77498,0.70324,0.71398,0.78902,0.93656,0.9967,0.99662
6,0.99944,0.99942,0.99726,0.9078,0.78094,0.76342,0.70356,0.71674,0.8107,0.9424,0.9976,0.9975
7,0.9993,0.99868,0.99804,0.92186,0.79552,0.77514,0.70362,0.71714,0.82246,0.9432,0.99746,0.99746
8,0.99942,0.99974,0.9985,0.93276,0.80624,0.78542,0.70312,0.71436,0.80174,0.94496,0.99842,0.99842
9,0.99942,0.99952,0.99848,0.9362,0.80278,0.77948,0.70352,0.7151,0.81292,0.9468,0.99884,0.99876
