epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7489051094890511,0.8508863399374348,0.8656934306569343,0.8742440041710114,0.8698644421272158,0.8681960375391032,0.7447340980187696,0.8158498435870699,0.8291970802919708,0.8498435870698644,0.8460896767466111,0.8475495307612096
1,0.7989572471324297,0.8967674661105318,0.9096976016684046,0.9094890510948905,0.9113660062565172,0.9115745568300313,0.7933263816475495,0.8692387904066736,0.880917622523462,0.8805005213764338,0.8834202294056309,0.8834202294056309
2,0.8079249217935349,0.908237747653806,0.9157455683003128,0.9167883211678832,0.9182481751824818,0.918873826903024,0.8029197080291971,0.8788321167883212,0.8886339937434828,0.8911366006256517,0.8948905109489051,0.8930135557872784
3,0.8212721584984358,0.9115745568300313,0.9203336809176226,0.9211678832116789,0.9207507820646507,0.9203336809176226,0.8150156412930135,0.8802919708029197,0.8855057351407717,0.8900938477580813,0.8925964546402503,0.8950990615224191
4,0.8277372262773722,0.9105318039624609,0.9222106360792492,0.9236704900938477,0.9267987486965589,0.9265901981230449,0.8129301355578727,0.8786235662148071,0.889259645464025,0.8911366006256517,0.9007299270072993,0.9007299270072993
5,0.8354535974973931,0.9119916579770594,0.9220020855057351,0.9255474452554745,0.9313868613138686,0.9311783107403545,0.8221063607924922,0.878415015641293,0.8936392075078207,0.8959332638164755,0.9046923879040667,0.9057351407716371
6,0.8454640250260689,0.9113660062565172,0.9192909280500522,0.9211678832116789,0.9282586027111575,0.9288842544316996,0.8302398331595412,0.8827945776850886,0.8890510948905109,0.8915537017726799,0.9099061522419186,0.9084462982273201
7,0.8544316996871741,0.9138686131386862,0.9240875912408759,0.9247132429614181,0.9307612095933264,0.9307612095933264,0.8321167883211679,0.88133472367049,0.8940563086548488,0.894473409801877,0.9199165797705944,0.9205422314911366
8,0.8598540145985402,0.9153284671532846,0.9247132429614181,0.932429614181439,0.9399374348279458,0.9401459854014599,0.8344108446298227,0.8832116788321168,0.8932221063607925,0.9017726798748696,0.9347236704900939,0.9345151199165798
9,0.8546402502606882,0.9067778936392075,0.9207507820646507,0.9267987486965589,0.9345151199165798,0.9361835245046923,0.829822732012513,0.8821689259645464,0.8907194994786236,0.8955161626694473,0.9401459854014599,0.9401459854014599
