epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.762252346193952,0.8540145985401459,0.8523461939520334,0.8602711157455682,0.8640250260688217,0.8686131386861314,0.7716371220020855,0.8254431699687174,0.8327424400417102,0.8437956204379562,0.8412930135557872,0.8440041710114703
1,0.805213764337852,0.8976016684045881,0.910740354535975,0.9119916579770594,0.9117831074035454,0.9122002085505735,0.7931178310740354,0.8690302398331595,0.8825860271115745,0.8827945776850886,0.8834202294056309,0.8836287799791449
2,0.8233576642335766,0.9092805005213764,0.9122002085505735,0.9157455683003128,0.916371220020855,0.9167883211678832,0.8062565172054224,0.8746611053180396,0.8823774765380605,0.8825860271115745,0.8857142857142857,0.8859228362877998
3,0.8344108446298227,0.9105318039624609,0.9174139728884254,0.9165797705943691,0.9194994786235662,0.9182481751824818,0.821689259645464,0.8767466110531804,0.883837330552659,0.8869655891553702,0.8896767466110532,0.8903023983315954
4,0.8435870698644421,0.9153284671532846,0.9207507820646507,0.9224191866527633,0.9265901981230449,0.9261730969760167,0.8264859228362877,0.8815432742440041,0.8869655891553702,0.8869655891553702,0.8936392075078207,0.8938477580813348
5,0.8498435870698644,0.9151199165797705,0.9207507820646507,0.921376433785193,0.9247132429614181,0.9251303441084463,0.8277372262773722,0.8773722627737226,0.8836287799791449,0.8915537017726799,0.9001042752867571,0.8992700729927007
6,0.8600625651720543,0.9147028154327425,0.9199165797705944,0.9259645464025026,0.9315954118873827,0.9318039624608968,0.8402502606882168,0.878415015641293,0.8894681960375391,0.891970802919708,0.9030239833159541,0.9034410844629823
7,0.8613138686131386,0.9155370177267987,0.9240875912408759,0.9224191866527633,0.9261730969760167,0.9255474452554745,0.8421272158498436,0.8792492179353493,0.8880083420229405,0.8880083420229405,0.9084462982273201,0.9084462982273201
8,0.8627737226277372,0.9178310740354536,0.9224191866527633,0.9240875912408759,0.9345151199165798,0.9343065693430657,0.8448383733055266,0.8830031282586027,0.8936392075078207,0.8978102189781022,0.9197080291970803,0.9203336809176226
9,0.8692387904066736,0.921376433785193,0.9272158498435871,0.9284671532846716,0.9326381647549531,0.9338894681960376,0.8515119916579771,0.8882168925964546,0.8936392075078207,0.897393117831074,0.9234619395203337,0.9238790406673618
