epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.82874,0.75294,0.75058,0.74516,0.7272,0.7359,0.60118,0.57854,0.58494,0.58682,0.597,0.60294
1,0.52952,0.53856,0.4731,0.53484,0.8057,0.8065,0.5122,0.5024,0.51648,0.50436,0.72322,0.72448
2,0.4968,0.46762,0.53854,0.51072,0.72468,0.72456,0.51076,0.51076,0.51074,0.51086,0.81128,0.81092
3,0.52228,0.50898,0.6505,0.5504,0.71474,0.71474,0.50294,0.50608,0.52948,0.51246,0.82662,0.82668
4,0.57844,0.5669,0.71266,0.56934,0.71822,0.71822,0.51076,0.51076,0.5225,0.5114,0.82816,0.82822
5,0.66182,0.63934,0.72836,0.58754,0.71696,0.71694,0.51076,0.51076,0.5355,0.51546,0.82848,0.82854
6,0.5911,0.58508,0.74112,0.63318,0.71722,0.71716,0.51076,0.51076,0.55088,0.51596,0.82836,0.82836
7,0.6305,0.60328,0.69602,0.59724,0.71988,0.71988,0.51076,0.51076,0.55894,0.52576,0.83064,0.83056
8,0.61032,0.6047,0.68362,0.6349,0.72374,0.72374,0.51076,0.51076,0.56154,0.51916,0.83196,0.83196
9,0.68134,0.67108,0.69718,0.67684,0.7201,0.72012,0.51076,0.51076,0.55392,0.53246,0.8288,0.8288
