epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.98984,0.96714,0.89822,0.7992,0.71864,0.71796,0.69942,0.6779,0.69034,0.83912,0.92792,0.92924
1,0.94538,0.81284,0.70814,0.7126,0.69424,0.69344,0.64356,0.61092,0.75228,0.89552,0.93346,0.93334
2,0.7657,0.7242,0.72014,0.70566,0.69638,0.69558,0.57602,0.62558,0.78476,0.91794,0.95274,0.95264
3,0.66328,0.63188,0.7068,0.70492,0.69596,0.6968,0.54116,0.6091,0.79276,0.9361,0.96088,0.96102
4,0.85526,0.69236,0.73614,0.7088,0.69944,0.6994,0.60618,0.61418,0.80524,0.94724,0.96628,0.96626
5,0.66818,0.65686,0.7181,0.7044,0.7014,0.7011,0.57092,0.60634,0.8017,0.9532,0.97032,0.97018
6,0.58018,0.68072,0.72828,0.70758,0.7008,0.70074,0.51802,0.60726,0.80768,0.95666,0.97204,0.97216
7,0.68458,0.70152,0.7299,0.70634,0.70186,0.7018,0.57136,0.61528,0.80336,0.9611,0.97548,0.97542
8,0.7143,0.69376,0.70818,0.70428,0.70168,0.70154,0.56538,0.59674,0.79912,0.96476,0.97708,0.97712
9,0.7434,0.70556,0.71278,0.70382,0.70238,0.7025,0.55088,0.60154,0.78482,0.966,0.97732,0.9773
