epoch,relu_color,layer1_color,layer2_color,layer3_color,layer4_color,avgpool_color,relu_digit,layer1_digit,layer2_digit,layer3_digit,layer4_digit,avgpool_digit
0,0.9931,0.9605,0.8808,0.7649,0.7301,0.72606,0.70048,0.70798,0.7138,0.83416,0.92158,0.91886
1,0.99916,0.96104,0.86442,0.74846,0.7092,0.70278,0.7036,0.725,0.8026,0.92258,0.9807,0.98012
2,0.99906,0.9698,0.87316,0.75336,0.70812,0.70004,0.70376,0.73102,0.8175,0.9362,0.98592,0.98586
3,0.99964,0.9739,0.9241,0.77434,0.7134,0.70062,0.70368,0.72744,0.83374,0.94274,0.98922,0.98884
4,0.99962,0.97104,0.91842,0.78314,0.71484,0.70096,0.7034,0.7368,0.84314,0.94276,0.99128,0.99082
5,0.99936,0.96864,0.92172,0.79122,0.71624,0.70142,0.70362,0.7398,0.8542,0.947,0.99168,0.99174
6,0.99946,0.96976,0.91774,0.79318,0.72074,0.7044,0.7042,0.74394,0.86168,0.95182,0.99284,0.99254
7,0.99958,0.9665,0.9024,0.77898,0.71874,0.70264,0.70412,0.74316,0.86146,0.95176,0.99356,0.99362
8,0.99948,0.96688,0.91356,0.7886,0.71606,0.7002,0.70434,0.74512,0.86388,0.95138,0.994,0.9938
9,0.9994,0.9709,0.93374,0.81144,0.73336,0.71426,0.70444,0.74728,0.87008,0.95218,0.9951,0.99492
