epoch,relu_water,layer1_water,layer2_water,layer3_water,layer4_water,avgpool_water,relu_bird,layer1_bird,layer2_bird,layer3_bird,layer4_bird,avgpool_bird
0,0.7833159541188738,0.8102189781021898,0.8004171011470281,0.8200208550573514,0.8329509906152242,0.8302398331595412,0.7735140771637122,0.8064650677789363,0.7889468196037539,0.8143899895724713,0.8250260688216893,0.8248175182481752
1,0.8171011470281543,0.8900938477580813,0.8934306569343066,0.8976016684045881,0.8934306569343066,0.8930135557872784,0.8025026068821689,0.8640250260688217,0.8625651720542231,0.8734098018769552,0.8715328467153285,0.8721584984358707
2,0.8289885297184567,0.9015641293013555,0.9074035453597498,0.9094890510948905,0.908029197080292,0.908029197080292,0.8093847758081335,0.8732012513034411,0.8819603753910323,0.883837330552659,0.8836287799791449,0.8832116788321168
3,0.8356621480709072,0.9126173096976017,0.9159541188738269,0.9161626694473409,0.9147028154327425,0.9140771637122002,0.818769551616267,0.8794577685088634,0.883837330552659,0.883837330552659,0.8842544316996872,0.8848800834202294
4,0.8446298227320125,0.9103232533889468,0.9153284671532846,0.9174139728884254,0.9155370177267987,0.9151199165797705,0.829614181438999,0.8790406673618353,0.8825860271115745,0.8842544316996872,0.8859228362877998,0.8857142857142857
5,0.848800834202294,0.9165797705943691,0.9205422314911366,0.9203336809176226,0.918873826903024,0.918873826903024,0.8333680917622523,0.8782064650677789,0.891970802919708,0.8903023983315954,0.8921793534932221,0.8905109489051095
6,0.8563086548488008,0.913451511991658,0.9155370177267987,0.9169968717413973,0.9172054223149113,0.9149113660062566,0.8319082377476538,0.8790406673618353,0.8869655891553702,0.8877997914494264,0.8888425443169968,0.8886339937434828
7,0.8592283628779979,0.913451511991658,0.9126173096976017,0.9140771637122002,0.9117831074035454,0.9136600625651721,0.8410844629822732,0.8765380604796663,0.8865484880083421,0.8880083420229405,0.8850886339937435,0.8857142857142857
8,0.8642335766423358,0.9151199165797705,0.918873826903024,0.9192909280500522,0.9192909280500522,0.9182481751824818,0.8481751824817518,0.8857142857142857,0.8936392075078207,0.8913451511991658,0.8928050052137644,0.8934306569343066
9,0.8706986444212722,0.9182481751824818,0.9222106360792492,0.921376433785193,0.9232533889468196,0.921793534932221,0.8498435870698644,0.8869655891553702,0.8938477580813348,0.8921793534932221,0.8940563086548488,0.894681960375391
